comp_id,name,bedrooms,bathrooms,amenities,notes,source_url,airbnb_room_id,platform,for_properties,as_of,stay_date,listed_price,available,source
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; mid Tue Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-16,825,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; mid Fri Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-19,875,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; peak Tue Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-23,1200,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; peak Fri Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-26,1350,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; Presidents Fri Feb 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-02-13,950,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; Presidents Tue Feb 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-02-17,875,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; shoulder Tue Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-02,1050,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; shoulder Fri Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-05,1100,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; mid Tue Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-16,1150,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; mid Fri Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-19,1200,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; peak Tue Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-23,1800,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; peak Fri Dec 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-12-26,1900,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; Presidents Fri Feb 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-02-13,1250,1,operator_entry_wph
comp_brooky,Brooky,9,7.0,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling; Presidents Tue Feb 2026,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,2026-09-01,2026-02-17,1150,1,operator_entry_wph
